
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
48:00:33:B3:F0:34, 2018-03-19 01:29:45, 2018-03-19 01:29:45, 11,  54, WPA2, CCMP,PSK, -76,        2,        0,   0.  0.  0.  0,   9, TC8715D2E, 
CC:03:FA:AD:3D:06, 2018-03-19 01:28:56, 2018-03-19 01:29:18,  6,  54, WPA2, CCMP,PSK, -74,        3,        0,   0.  0.  0.  0,   9, TC8715D00, 
40:B8:9A:E4:97:0C, 2018-03-19 01:28:12, 2018-03-19 01:29:09, 11,  54, WPA2, CCMP,PSK, -52,        6,       13,   0.  0.  0.  0,  10, WIFIE49709, 
CC:03:FA:AF:F6:E0, 2018-03-19 01:28:29, 2018-03-19 01:28:56, 11,  54, WPA2, CCMP,PSK, -76,        1,        0,   0.  0.  0.  0,   9, TC8715DDA, 
B4:2A:0E:B4:99:F3, 2018-03-19 01:28:43, 2018-03-19 01:28:43,  1,  54, WPA2, CCMP,PSK, -72,        1,        0,   0.  0.  0.  0,   8, Big Wifi, 
A0:63:91:38:BF:21, 2018-03-19 01:28:28, 2018-03-19 01:28:28,  4,  54, WPA2, CCMP,PSK, -76,        1,        0,   0.  0.  0.  0,  23, CompuGlobalHyperMegaNet, 
B4:75:0E:19:D5:BE, 2018-03-19 01:28:32, 2018-03-19 01:28:32,  9,  54, WPA2, CCMP,PSK, -78,        0,        0,   0.  0.  0.  0,   5, Magna, 
E8:ED:05:6D:30:40, 2018-03-19 01:28:16, 2018-03-19 01:28:21,  1,  54, WPA2, CCMP,PSK, -75,        2,        0,   0.  0.  0.  0,   9, DG1670A42, 
96:10:3E:14:80:B3, 2018-03-19 01:28:34, 2018-03-19 01:29:15,  1,  54, OPN, ,   , -73,        3,        0,   0.  0.  0.  0,  11, Magna-guest, 
A8:A7:95:FC:1D:5F, 2018-03-19 01:29:27, 2018-03-19 01:29:27, 11,  -1, WPA, ,   , -76,        0,        1,   0.  0.  0.  0,   0, , 
B4:2A:0E:55:ED:B0, 2018-03-19 01:29:24, 2018-03-19 01:29:24,  1,  -1, WPA, ,   , -70,        0,        2,   0.  0.  0.  0,   0, , 
B0:7F:B9:1B:2B:B0, 2018-03-19 01:28:15, 2018-03-19 01:30:07, 11,  54, WPA2, CCMP,PSK, -76,       28,        0,   0.  0.  0.  0,   9, NETGEAR42, 
BC:CA:B5:79:8C:80, 2018-03-19 01:28:16, 2018-03-19 01:30:08,  6,  54, WPA2, CCMP,PSK, -76,       23,        0,   0.  0.  0.  0,   9, TCHilgard, 
90:1A:CA:5D:9C:F0, 2018-03-19 01:29:05, 2018-03-19 01:30:03, 11,  54, WPA2, CCMP,PSK, -76,        4,        0,   0.  0.  0.  0,   9, DG1670AF2, 
B0:C2:87:51:62:61, 2018-03-19 01:28:16, 2018-03-19 01:30:08,  6,  54, WPA2, CCMP,PSK, -75,       24,        0,   0.  0.  0.  0,   9, TC8715D5B, 
70:3A:CB:6E:66:61, 2018-03-19 01:28:56, 2018-03-19 01:30:03, 11,  54, WPA2, CCMP,PSK, -74,        5,        0,   0.  0.  0.  0,  10, IKentEven2, 
A0:8E:78:04:78:56, 2018-03-19 01:28:21, 2018-03-19 01:29:59,  1,  54, WPA2, CCMP,PSK, -74,       16,        0,   0.  0.  0.  0,  19, MySpectrumWiFi50-2G, 
F4:6B:EF:3D:06:86, 2018-03-19 01:28:33, 2018-03-19 01:30:07, 11,  54, WPA2, CCMP,PSK, -75,       10,        0,   0.  0.  0.  0,  19, MySpectrumWiFi80-2G, 
90:48:9A:EB:0F:5F, 2018-03-19 01:28:16, 2018-03-19 01:30:08,  6,  54, WPA2, CCMP,PSK, -74,       25,        0,   0.  0.  0.  0,  10, Hilgard115, 
10:DA:43:6A:E5:2C, 2018-03-19 01:28:14, 2018-03-19 01:30:06,  9,  54, WPA2, CCMP,PSK, -76,       27,        0,   0.  0.  0.  0,   9, NETGEAR69, 
